Designator,Mid X,Mid Y,Rotation,Layer
C1,168.4625,-108.4,0.0,top
C2,168.4625,-110.7,0.0,top
C3,168.4625,-106.15,0.0,top
D1,155.74,-115.46,0.0,top
J1,175.8,-109.05,90.0,top
J2,149.0,-108.75,270.0,top
R1,165.2,-109.6,270.0,top
RV1,167.4,-115.29,90.0,top
U1,158.78,-108.55,0.0,top
